childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
936002,,,,,,117500,109000,142000,130000,D,145000,162000,181000,175000,180000,,,,,,,,,,,,,
936301,,,,,,,,,,,,,,,,,12000,4836,5605,,,,6800,10310,,,,
936501,,,43500,49000,60000,56500,D,70000,81000,85000,76000,81000,E,E,E,,,,,,,,,,,,,
936601,,,,,,,,E,E,E,E,E,E,E,E,13400,10000,9000,14400,16900,55800,73540,,,,,,
936602,,,,,,,,64000,75000,91000,E,E,E,E,E,,,,,,,,,,,,,
937101,20000,50000,D,0,22000,D,E,E,E,E,E,E,E,E,E,,D,17000,500,,7000,D,I,26000,R,,,
937102,20000,50000,D,0,22000,D,0,30000,E,E,E,E,E,E,E,,,,,,7000,D,I,26000,R,,,
937401,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,D,D,D,13000,D,D,D,19500,D,D,I,10050,0
937402,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,D,D,D,13000,D,D,D,19500,D,D,I,10050,0
937403,D,D,D,D,D,26000,E,E,E,E,E,E,E,E,E,,D,D,13000,D,D,D,19500,D,D,,,
937404,D,D,D,D,D,26000,D,E,E,E,E,E,E,E,E,,,D,13000,D,D,D,19500,D,D,,,
937801,,,,,,,,,,,,,,,,,D,D,D,20010,15095,30100,1057448,60000,,,,
937802,,,,,,,,,,,,,,,,,,,,20010,15095,30100,1057448,60000,,,,
938001,47000,71100,79000,D,244343,63200,36020,58025,E,E,E,E,E,E,E,,,,,,D,52000,76000,I,50000,,,
938002,47000,71100,79000,D,244343,63200,36020,58025,75000,E,E,E,E,E,E,,,,,,,,76000,I,50000,,,
938101,80200,80100,71800,E,E,E,E,E,E,E,E,E,E,E,E,12500,53200,26030,43025,44000,47000,63200,66100,64080,84200,10144,5840,10213
938102,80200,80100,71800,54000,88028,85000,E,E,E,E,E,E,E,E,E,12500,53200,26030,43025,44000,47000,63200,66100,64080,84200,,,
938103,80200,80100,71800,54000,88028,85000,114000,E,E,E,E,E,E,E,E,,,,43025,44000,47000,63200,66100,64080,84200,,,
938201,12720,12936,D,E,E,E,E,E,E,E,E,E,E,,E,D,11500,17000,20280,22894,6456,9372,9696,13548,3000,4152,I,5580
